dateTime,value
2018-12-06,13247
2018-12-07,5326
2018-12-08,13546
2018-12-09,13639
2018-12-10,2851
2018-12-11,13609
2018-12-12,10061
2018-12-13,10838
2018-12-14,7634
2018-12-15,2310
2018-12-16,4046
2018-12-17,7862
2018-12-18,11330
2018-12-19,8483
2018-12-20,7136
2018-12-21,5578
2018-12-22,3272
2018-12-23,7521
2018-12-24,4576
2018-12-25,2713
2018-12-26,5219
2018-12-27,2290
2018-12-28,9206
2018-12-29,2282
2018-12-30,3903
2018-12-31,5461
2019-01-01,2785
2019-01-02,3754
2019-01-03,9581
2019-01-04,5564
2019-01-05,2361
2019-01-06,1986
2019-01-07,2750
2019-01-08,1644
2019-01-09,5514
2019-01-10,1471
2019-01-11,3872
2019-01-12,353
2019-01-13,654
2019-01-14,15649
2019-01-15,13664
2019-01-16,10233
2019-01-17,811
2019-01-18,2096
2019-01-19,2039
2019-01-20,4660
2019-01-21,12898
2019-01-22,13524
2019-01-23,16412
2019-01-24,991
2019-01-25,4337
2019-01-26,1408
2019-01-27,10281
2019-01-28,8625
2019-01-29,14060
2019-01-30,4197
2019-01-31,2495
2019-02-01,3518
2019-02-02,950
2019-02-03,7207
2019-02-04,16524
2019-02-05,13979
2019-02-06,9160
2019-02-07,2393
2019-02-08,1872
2019-02-09,2729
2019-02-10,7471
2019-02-11,14672
2019-02-12,5288
2019-02-13,3126
2019-02-14,5658
2019-02-15,2673
2019-02-16,958
2019-02-17,11874
2019-02-18,4963
2019-02-19,8881
2019-02-20,4320
2019-02-21,3028
2019-02-22,8328
2019-02-23,3128
2019-02-24,11256
2019-02-25,12435
2019-02-26,13871
2019-02-27,14158
2019-02-28,6511
2019-03-01,1532
2019-03-02,4633
2019-03-03,8531
2019-03-04,8837
2019-03-05,11090
2019-03-06,9480
2019-03-07,5841
2019-03-08,3311
2019-03-09,2050
2019-03-10,11040
2019-03-11,9677
2019-03-12,13526
2019-03-13,12218
2019-03-14,3818
2019-03-15,6844
2019-03-16,2665
2019-03-17,7717
2019-03-18,14421
2019-03-19,16270
2019-03-20,11396
2019-03-21,3250
2019-03-22,10510
2019-03-23,3049
2019-03-24,14511
2019-03-25,11853
2019-03-26,13776
2019-03-27,9486
2019-03-28,5389
2019-03-29,1690
2019-03-30,1399
2019-03-31,12461
2019-04-01,11496
2019-04-02,11325
2019-04-03,17319
2019-04-04,5705
2019-04-05,7266
2019-04-06,3997
2019-04-07,21489
2019-04-08,10907
2019-04-09,13536
2019-04-10,8388
2019-04-11,9054
2019-04-12,4295
2019-04-13,7301
2019-04-14,799
2019-04-15,3872
2019-04-16,1731
2019-04-17,13372
2019-04-18,7453
2019-04-19,733
2019-04-20,9468
2019-04-21,398
2019-04-22,8381
2019-04-23,7166
2019-04-24,15482
2019-04-25,8353
2019-04-26,12140
2019-04-27,7859
2019-04-28,14812
2019-04-29,3521
2019-04-30,5130
2019-05-01,11049
2019-05-02,3386
2019-05-03,10184
2019-05-04,5830
2019-05-05,12771
2019-05-06,8122
2019-05-07,10524
2019-05-08,5179
2019-05-09,8281
2019-05-10,7666
2019-05-11,9314
2019-05-12,3053
2019-05-13,8875
2019-05-14,8897
2019-05-15,7928
2019-05-16,15017
2019-05-17,9447
2019-05-18,3329
2019-05-19,9436
2019-05-20,16757
2019-05-21,9836
2019-05-22,7563
2019-05-23,8135
2019-05-24,17818
2019-05-25,8134
2019-05-26,11635
2019-05-27,14903
2019-05-28,10047
2019-05-29,7925
2019-05-30,7542
2019-05-31,7613
2019-06-01,10349
2019-06-02,6527
2019-06-03,8023
2019-06-04,7517
2019-06-05,9608
2019-06-06,15507
2019-06-07,15173
2019-06-08,13224
2019-06-09,14128
2019-06-10,9698
2019-06-11,16578
2019-06-12,20878
2019-06-13,10519
2019-06-14,16940
2019-06-15,14194
2019-06-16,6811
2019-06-17,12453
2019-06-18,6788
2019-06-19,19406
2019-06-20,8776
2019-06-21,14065
2019-06-22,3115
2019-06-23,6008
2019-06-24,9784
2019-06-25,8286
2019-06-26,11123
2019-06-27,10078
2019-06-28,14711
2019-06-29,4916
2019-06-30,11131
2019-07-01,8232
2019-07-02,10599
2019-07-03,5999
2019-07-04,14260
2019-07-05,7447
2019-07-06,7217
2019-07-07,5552
2019-07-08,11992
2019-07-09,9506
2019-07-10,8275
2019-07-11,8439
2019-07-12,8071
2019-07-13,5297
2019-07-14,9529
2019-07-15,8788
2019-07-16,6872
2019-07-17,11014
2019-07-18,14292
2019-07-19,15032
2019-07-20,6910
2019-07-21,12964
2019-07-22,11003
2019-07-23,8602
2019-07-24,11443
2019-07-25,16560
2019-07-26,10368
2019-07-27,15450
2019-07-28,22066
2019-07-29,11741
2019-07-30,5505
2019-07-31,15976
2019-08-01,11100
2019-08-02,7274
2019-08-03,17942
2019-08-04,11938
2019-08-05,9234
2019-08-06,16749
2019-08-07,17798
2019-08-08,8684
2019-08-09,10291
2019-08-10,15686
2019-08-11,10116
2019-08-12,17625
